Id,Label,timeset,Clustering Coefficient,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,Degree,componentnumber,modularity_class
Kendriya Terminal,,,0.089474,12,0.206414,0.235997,127396.187728,16,14,30,0,2
Regal,,,0.143791,13,0.188794,0.216699,14296.498821,11,11,22,0,2
Shivaji Stadium,,,0.128655,13,0.196451,0.226487,41470.142721,8,15,23,0,2
Chitra Gupta Road,,,0.133333,14,0.171302,0.192183,2460.025761,3,4,7,0,2
Master Prithvi Nath Marg / Faiz Road,,,0,14,0.167507,0.184358,571.256768,1,1,2,0,2
Ice Factory,,,0.04329,13,0.195686,0.224411,80091.505401,12,14,26,0,0
Malka Ganj,,,0.095238,14,0.170392,0.190733,6017.076454,2,5,7,0,0
Maurice Nagar,,,0.090909,13,0.174911,0.197526,24937.607881,8,7,15,0,5
G.T.B. Nagar,,,0.036765,13,0.18039,0.20701,67636.415339,12,13,25,0,5
Model Town II,,,0.155556,12,0.195481,0.221475,75158.168768,8,7,15,0,5
Adarsh Nagar,,,0.218182,13,0.176605,0.200719,17122.403355,8,8,16,0,0
R.M.L. Hospital,,,0.238095,13,0.177922,0.197971,3562.745394,4,7,11,0,2
G.T.K. Depot,,,0.080882,13,0.179814,0.204846,44806.342423,5,15,20,0,1
Sameypur,,,1,14,0.155818,0.169201,0,1,1,2,0,1
Badli Railway Station,,,0.333333,13,0.168265,0.186286,9176.760631,5,1,6,0,1
Nizamuddin Railway Station,,,0.333333,13,0.16246,0.178688,1362.188777,2,3,5,0,12
Police Station Nizamuddin,,,0.066667,13,0.176705,0.198615,21751.583108,9,7,16,0,0
Golf Club / Sunder Nagar,,,0.071429,14,0.17219,0.194511,6597.858095,5,6,11,0,0
Supreme Court,,,0.120879,13,0.190418,0.217071,36593.038637,11,10,21,0,0
Delhi Gate,,,0.05698,13,0.200842,0.235178,84099.542656,21,19,40,0,0
Red Fort,,,0.181818,12,0.189583,0.212821,9123.091542,10,6,16,0,0
