Name,,,long,lat,,,
OMS,Anand Vihar ISBT (Viveka Nand ISBT),Hasan Pur Depot (Patparganj Depot),77.31517269,28.64619776,77.30731528,28.63580205,51
OMS,Hasan Pur Depot (Patparganj Depot),Shakar Pur,77.30731528,28.63580205,77.282,28.633,
OMS,Shakar Pur,Mother Dairy,77.282,28.633,77.2864366,28.6190727,
OMS,Mother Dairy,Pusta X-ing (N.H. 24),77.2864366,28.6190727,77.284,28.614,
OMS,Pusta X-ing (N.H. 24),Road Bridge East,77.284,28.614,77.256,28.596,
OMS,Road Bridge East,Sarai Kale Khan,77.256,28.596,77.257,28.591,
OMS,Sarai Kale Khan,Ashram,77.257,28.591,77.257703,28.5735,
OMS,Ashram,Sri Niwas Puri Depot,77.257703,28.5735,77.26,28.561,
OMS,Sri Niwas Puri Depot,Punj Sons,77.26,28.561,77.2593087,28.5389372,
OMS,Punj Sons,Kalka Ji DDA Flats,77.2593087,28.5389372,77.256,28.526,
OMS,Kalka Ji DDA Flats,Hamdard Nagar,77.256,28.526,77.24940429,28.51216976,
OMS,Hamdard Nagar,Ambedkar Nagar Terminal,77.24940429,28.51216976,77.228922,28.514969,
OMS,Ambedkar Nagar Terminal,Saket J-Block,77.228922,28.514969,77.214,28.522,
OMS,Saket J-Block,Saket Market M-Block / Hauzrani (G.M. Modi Hospital),77.214,28.522,77.21503888,28.52823663,
OMS,Saket Market M-Block / Hauzrani (G.M. Modi Hospital),Police Training School (P.T.S),77.21503888,28.52823663,77.19583893,28.53287697,
OMS,Police Training School (P.T.S),Qutub Enclave (New Delhi),77.19583893,28.53287697,77.19859598,28.53881666,
OMS,Qutub Enclave (New Delhi),J.N.U.,77.19859598,28.53881666,77.156,28.539,
OMS,J.N.U.,R.K. Puram Sector 1,77.156,28.539,77.178,28.564,
OMS,R.K. Puram Sector 1,R.K. Puram Sector 8,77.178,28.564,77.165,28.569,
OMS,R.K. Puram Sector 8,Moti Bagh,77.165,28.569,77.174,28.581,
OMS,Moti Bagh,Dhaula Kuan,77.174,28.581,77.16298864,28.59921562,
OMS,Dhaula Kuan,R.R. Lines,77.16298864,28.59921562,77.151,28.595,
OMS,R.R. Lines,Shastri Bazar,77.151,28.595,77.135,28.596,
OMS,Shastri Bazar,More Line,77.135,28.596,77.117,28.583,
OMS,More Line,Sadar Bazar Delhi Cantt,77.117,28.583,77.122,28.595,
OMS,Sadar Bazar Delhi Cantt,Kirby Place,77.122,28.595,77.127,28.604,
OMS,Kirby Place,Lajwanti Garden,77.127,28.604,77.11,28.612,
OMS,Lajwanti Garden,D.E.S.U. Colony Janak Puri,77.11,28.612,77.09876669,28.61087359,
OMS,D.E.S.U. Colony Janak Puri,Janak Puri C-1,77.09876669,28.61087359,77.078,28.617,
OMS,Janak Puri C-1,Uttam Nagar,77.078,28.617,77.06,28.622,
OMS,Uttam Nagar,Janakpuri District Center,77.06,28.622,77.079,28.63,
OMS,Janakpuri District Center,Major Bhupinder Singh Nagar,77.079,28.63,77.084,28.646,
OMS,Major Bhupinder Singh Nagar,Sunder Vihar,77.084,28.646,77.091,28.663,
OMS,Sunder Vihar,Peera Garhi Depot,77.091,28.663,77.093,28.675,
OMS,Peera Garhi Depot,Mangol Pur School,77.093,28.675,77.104,28.694,
OMS,Mangol Pur School,Saraswati Vihar C-Block,77.104,28.694,77.125,28.7,
OMS,Saraswati Vihar C-Block,Uttari Pitam Pura,77.125,28.7,77.138,28.715,
OMS,Uttari Pitam Pura,Haider Pur Water Works,77.138,28.715,77.14070667,28.72126435,
OMS,Haider Pur Water Works,G.T.K. By Pass,77.14070667,28.72126435,77.155815,28.735378,
OMS,G.T.K. By Pass,Burari X-ing,77.155815,28.735378,77.1964753,28.7287095,
OMS,Burari X-ing,Jagat Pur,77.1964753,28.7287095,77.217429,28.724374,
OMS,Jagat Pur,Nanak Sar,77.217429,28.724374,77.2412985,28.7091231,
OMS,Nanak Sar,Bhajanpura,77.2412985,28.7091231,77.26398,28.703351,
OMS,Bhajanpura,Yamuna Vihar C-4,77.26398,28.703351,77.283,28.7,
OMS,Yamuna Vihar C-4,Anand Gram,77.283,28.7,77.32169515,28.68877559,
OMS,Anand Gram,Seema Puri,77.32169515,28.68877559,77.327,28.68,
OMS,Seema Puri,Surya Nagar,77.327,28.68,77.321,28.666,
OMS,Surya Nagar,Anand Vihar ISBT (Viveka Nand ISBT),77.321,28.666,77.31517269,28.64619776,
