RouteNumber,Source,Target,SourceLong,SourceLat,TargetLong,TargetLat,TotalStations
100,Kendriya Terminal,Regal,77.203,28.617,77.217,28.63,11
100,Regal,Shivaji Stadium,77.217,28.63,77.215,28.632,
100,Shivaji Stadium,Chitra Gupta Road,77.215,28.632,77.208537,28.641385,
100,Chitra Gupta Road,Master Prithvi Nath Marg / Faiz Road,77.208537,28.641385,77.198,28.652,
100,Master Prithvi Nath Marg / Faiz Road,Ice Factory,77.198,28.652,77.209181,28.666948,
100,Ice Factory,Malka Ganj,77.209181,28.666948,77.201,28.677,
100,Malka Ganj,Maurice Nagar,77.201,28.677,77.205,28.686,
100,Maurice Nagar,G.T.B. Nagar,77.205,28.686,77.20600216,28.69821532,
100,G.T.B. Nagar,Model Town II,77.20600216,28.69821532,77.19,28.704,
100,Model Town II,Adarsh Nagar,77.19,28.704,77.170962,28.71575082,
120,Kendriya Terminal,Patel Chowk,77.203,28.617,77.21,28.624,20
120,Patel Chowk,Mandi House,77.21,28.624,77.234,28.625,
120,Mandi House,Delhi Gate,77.234,28.625,77.24084887,28.64114554,
120,Delhi Gate,Shanti Van,77.24084887,28.64114554,77.245,28.649,
120,Shanti Van,Yamuna Bazar,77.245,28.649,77.235,28.664,
120,Yamuna Bazar,ISBT / Kashmiri Gate,77.235,28.664,77.229,28.666,
120,ISBT / Kashmiri Gate,Model Town II,77.229,28.666,77.19,28.704,
120,Model Town II,Adarsh Nagar,77.19,28.704,77.170962,28.71575082,
120,Adarsh Nagar,G.T.K. Depot,77.170962,28.71575082,77.15831988,28.73153613,
120,G.T.K. Depot,Libas Pur G.T. Road,77.15831988,28.73153613,77.15,28.751,
120,Libas Pur G.T. Road,Nangli Poonam,77.15,28.751,77.143,28.772,
120,Nangli Poonam,Budh Pur,77.143,28.772,77.14115515,28.78162018,
120,Budh Pur,Ali Pur,77.14115515,28.78162018,77.1395072,28.79635206,
120,Ali Pur,Bakoli,77.1395072,28.79635206,77.13613445,28.81211528,
120,Bakoli,Khampur,77.13613445,28.81211528,77.13234055,28.82446792,
120,Khampur,Singhola Village,77.13234055,28.82446792,77.12142981,28.84187637,
120,Singhola Village,A7 Raja Harish Chandra Hospital Narela,77.12142981,28.84187637,77.102,28.839,
120,A7 Raja Harish Chandra Hospital Narela,Ram Dev Chowk,77.102,28.839,77.093,28.858,
120,Ram Dev Chowk,Narela Terminal,77.093,28.858,77.088,28.852,
120A,Mori Gate Terminal,Old Secretariat,77.225,28.666,77.222,28.683,17
120A,Old Secretariat,G.T.B. Nagar,77.222,28.683,77.20600216,28.69821532,
120A,G.T.B. Nagar,Model Town II,77.20600216,28.69821532,77.19,28.704,
120A,Model Town II,Adarsh Nagar,77.19,28.704,77.170962,28.71575082,
120A,Adarsh Nagar,G.T.K. Depot,77.170962,28.71575082,77.15831988,28.73153613,
120A,G.T.K. Depot,Libas Pur G.T. Road,77.15831988,28.73153613,77.15,28.751,
120A,Libas Pur G.T. Road,Nangli Poonam,77.15,28.751,77.143,28.772,
120A,Nangli Poonam,Budh Pur,77.143,28.772,77.14115515,28.78162018,
120A,Budh Pur,Ali Pur,77.14115515,28.78162018,77.1395072,28.79635206,
120A,Ali Pur,Bakoli,77.1395072,28.79635206,77.13613445,28.81211528,
120A,Bakoli,Khampur,77.13613445,28.81211528,77.13234055,28.82446792,
120A,Khampur,Singhola,77.13234055,28.82446792,77.126,28.844,
