NAME,,,Long,Lat,,
TMS,Raja Garden,Punjabi Bagh Club,77.126,28.65,77.131,28.663
TMS,Punjabi Bagh Club,Punjabi Bagh Terminal,77.131,28.663,77.143,28.673
TMS,Punjabi Bagh Terminal,Wazirpur Depot,77.143,28.673,77.151,28.694
TMS,Wazirpur Depot,Ashok Vihar X-ing,77.151,28.694,77.167248,28.702757
TMS,Ashok Vihar X-ing,Model Town II,77.167248,28.702757,77.19,28.704
TMS,Model Town II,G.T.B. Nagar,77.19,28.704,77.20600216,28.69821532
TMS,G.T.B. Nagar,Old Secretariat,77.20600216,28.69821532,77.222,28.683
TMS,Old Secretariat,ISBT / Kashmiri Gate,77.222,28.683,77.229,28.666
TMS,ISBT / Kashmiri Gate,Yamuna Bazar,77.229,28.666,77.235,28.664
TMS,Yamuna Bazar,Shanti Van,77.235,28.664,77.245,28.649
TMS,Shanti Van,I.T.O. (Ring Road),77.245,28.649,77.2472393,28.6317039
TMS,I.T.O. (Ring Road),Pragati Maidan / Railway X-ing Ring Road,77.2472393,28.6317039,77.24694659,28.61534937
TMS,Pragati Maidan / Railway X-ing Ring Road,Sarai Kale Khan ISBT,77.24694659,28.61534937,77.258,28.591
TMS,Sarai Kale Khan ISBT,Maharani Bagh,77.258,28.591,77.264,28.576
TMS,Maharani Bagh,Lajpat Nagar,77.264,28.576,77.244,28.565
TMS,Lajpat Nagar,Andrews Ganj,77.244,28.565,77.23060783,28.56592139
TMS,Andrews Ganj,A.I.I.M.S.,77.23060783,28.56592139,77.20777297,28.56635652
TMS,A.I.I.M.S.,Narouji Nagar,77.20777297,28.56635652,77.195,28.569
TMS,Narouji Nagar,Moti Bagh,77.195,28.569,77.174,28.581
TMS,Moti Bagh,Dhaula Kuan,77.174,28.581,77.16298864,28.59921562
TMS,Dhaula Kuan,R.R. Lines,77.16298864,28.59921562,77.151,28.595
TMS,R.R. Lines,Barar Square,77.151,28.595,77.13888975,28.61001837
TMS,Barar Square,Naraina Village,77.13888975,28.61001837,77.1366257,28.61800266
TMS,Naraina Village,Maya Puri Chowk,77.1366257,28.61800266,77.129,28.638
TMS,Maya Puri Chowk,Raja Garden,77.129,28.638,77.126,28.65
